P0150	ESPONJA XUNIDAD	11
P0151	ESTRICNINA XCAPSULA	190
P0152	GASTION X30PASTILLAS	25
P0153	GASTION X LATA "10TUB" 30TAB	82
P0154	GASTION XPASTILLA	22
P0155	GASTION XTUBO	57
P0156	GUANTES XUNIDAD	6
P0157	MATAKUKI XSOBRE	901
P0158	MATARAPIDO XSOBRE	8
P0159	MATATODO XSOBRE	2
P0160	PAPEL KRAF X UNIDAD	5
P0162	PULVERIZADORA AGROVET DE 15LT	14
P0163	PULVERIZADORA AGROVET DE 20 LT	109
P0164	PULVERIZADORA AOSOME C/MOTOR DE 20 LT	5
P0165	PULVERIZADORA JACTO DE 20 LT	25
P0166	PULVERIZADORA JACTO NORMAL DE 20 LT	26
P0167	PULVERIZADORA SOLO DE 15 LT	42
P0168	REPUESTO JACTO COMPLETO XUNIDAD	25
P0172	VASO JACTO XUNIDAD	20
P0173	ALIETTE XKL	143
P0174	AMISTAR X40GR	2266
P0175	BENLATE X200GR	15
P0176	BENLATE X500GR	13
P0177	BENOPOINT XKG	16
P0178	BENZOMIL X200GR	148
P0179	BENZOMIL XKG	25
P0180	BOMBA X60GR	60
P0180	KOKAL 40.10.10 XLT	468
P0181	BUCANER X250ML	1
P0181	ORO NEGRO XLT	989
P0182	ATON XLT	9
P0183	CAPTURE XKG	3
P0183	R-FOS XLT	538
P0184	CARVADIN XKG	346
P0184	NITROSOL HOJA XLT	564
P0185	ALGER XLT	829
P0186	COMPUESTO X KG	1836
P0186	GOLDEN XLT	275
P0187	CONTROLLER PLUS X100GR	2
P0187	INCENTIVE XLT	2045
P0188	COPPER MAX XLT	13
P0188	CORSARIO X750GR	215
P0189	CURZATE XKG	261
P0189	MEGA ROOT XLT	1466
P0190	EPICO X100GR	25
P0190	MEGAFOL XLT	1940
P0191	FITORAZ X500GR	386
P0191	OMEX 20.20.20 XLT	339
P0192	FITORAZ XKG	811
P0192	GREENZIT 20.20.20 XLT	57
P0193	FOBOS X200GR	3
P0193	MANZIFER COB XLT	770
P0194	FORDAZIM XLT	24
P0194	FURADAN XKG	4191
P0195	GALBEN X500GR	10
P0195	KLING NITRO XLT	160
P0196	BEST WATER XLT	8
P0196	GALBEN XKG	73
P0197	BIG HOR PLUS XLT	313
P0198	ALGARYS PRO XLT	42
P0198	GUANO DE ISLA XKG	342
P0199	GUSADRIN XKG	2295
P0199	ISABION XLT	128
P0200	HOOK X200GR	2
P0200	MIXHOR PLUS XLT	179
P0201	KLERAT X25GR	4245
P0201	TRIVALENTE XLT	6
P0202	QUIMIFOSATO XLT	175
P02021	ACEITE OIL	187
P02022	MOLIMAX 20 20	5
P02023	MOLIMAX 20 20 20	225
P02024	CUAJO  MARSCHALL 100X100	850
P02025	ADERAL XL	30
P02026	TRUMASTIR 250ML	30
P02027	CITOGEEL 500ML	330
P02028	CITOGEEL 250ML	1696
P02029	ROT- HOR XL	16
P0203	WESTQUAT XLT	1
P02030	ROT- HOR 250ML	22
P02031	HOMAI X100GR	291
P02031	PEGASOL 250ML	18
P02032	SUPER FOLIAR 40-10-10	1533
P02033	RAYOSAC 250 ML	190
P02034	.	11
P02035	.	5
P02039	FOSFATO DIAMONICO MOLINO	288
P02039	TODO BROTE 40-10-10  XKG	647
P0204	QUEMAFOL XLT	6
P02040	MIL HOJAS	194
P02042	PAPA POWER 20-20-20 XG	1235
p02043	EL ZORRO	963
P02044	VARILLA RESPUESTO	2
P02045	FIPECTO POUR 250 ML	24
P02049	LASSER	80
P0205	AMISTAR TOP XLT	325
P0205	MANCOZEB XKG	13
P02050	COCALERO 40-10-10	210
P02050	HOJA BROTE XL	272
P02051	ALGABIOL XL	83
P02051	CITOGEEL XL	124
P02052	FOLIAR XL	164
P02052	LASSER XL	9
P02053	LASSER X120ML	498
P02054	PHYTON 27 XL	3
P02055	PIOLIN	52
P02056	MANGUERA JACTO	8
P02056	PHYTON 57 X500ML	1
P02056	SUPER BIOL	387
P02057	PHYTON 27 X 200ML	1
P02057	PROGGIB	1004
P02058	ORGABIOL X250 ML	3
P02059	AGROSTEMIN GL X1/4L	5
P02059	BASE CHINO	3
P0206	AMISTAR ZTRA XLT	41
P0206	MANCOZIL XKG	57
P02060	AGROSTEMIN GL XL	3
P02060	ALBENDACOR X250 ML	1
P02061	SUPER RATON	1
P02062	EFECTIVO	3
P02062	KOKAL ANDINA XKL	144
P02063	COFIA XL	4
P02063	MATA GUSANO	1520
P02064	ARETES	3
P02064	PEGA RATA AMARILLO	18
P02065	AROS	62
P02065	ESTOQUE XL	12
p02065	PROMOCIóN Y DESARROLLO CORRESPONDIENTE AL MES DE ABRIL	1
P02066	CAMPAL PLUS XL	5
P02066	CHICA VERANO	149
P02066	HEMATEC XL	35
P02066	SAL MINERAL	14
P02067	BIN LADEN	151
P02067	LANZA JACTO	12
P02069	PURO VERDE XKL	176
P0207	METSUL X10GR	15
P0207	RAYOSAC HORTUS XLT	2
P02070	CLOROFILA XL	15
P02070	HEMATEC X500ML	3
P02071	.	35
P02071	KARATE ZEON X250ML	9123
P02071	PROMOCION Y DESARROLLO CORRESPONDIENTE AL MES DE MAYO	1
P02072	AQUAMASTER XK	4
P02072	FOLIAR X250	86
P02073	KUMIRGEEL X500ML	116
P02074	KUMIRGEEL XL	4
P02075	DESTROYER X500ML	12
P02075	SUPRECOL 11-8-6 X LT	867
P02076	BLOCKER	23
P02076	HOJA BROTE XL	2
P02079	MULTIPAPAS 20-20-20	142
P0208	CROPLAN XLT	1
P0208	MOLIMAX KG	54
P02080	RANIDE X250ML	2
P02080	UBRELINA X200	75
P02081	ATOM XL	268
p02081	SUPER BIOL XL	7
P02082	CIGABRIN X PAST	2
P02083	AGROFOL XK	33
P02083	UBRESANOL 50 GRAMOS	70
P02084	LORPYFOS XKL	1722
P02085	IBOMEC	6
P02085	VASOS ORIGINAL	5
P02086	LLAVES ORIGINAL	14
P02086	TMK X15K	6
P02087	BOQUILLA JACTO	33
P02089	BENLATE XKL	19
P0209	MACHAZO XLT	46
P02090	ADHERENTE X500ML	4
P02090	RATEX	18
P02091	UBRELINA X800	6
P02092	MOLIMAX COMPUESTO 20 20 20	371
P02094	MATA KUKIS	78
P0210	CIPERMEX XLT	45
P0210	MULTIFOLIAR XKG	2
P0211	NATIVO X100GR	540
P0212	KARATE XLT	508
P0212	OCTANO XKG	3209
P0213	OLIGOMIX X100GR	219
P0215	AFFLY XLT	398
P0215	RIDOMIL X250GR	467
P0216	PULVERIZAROR JACTO PICON PJH 20LT	284
P0216	RIDOMIL XKG	75
P0217	S-KEMATA XLT	3
P0217	S.F. 20-20-20 XKG	7
P0218	S-KEMATA X250ML	221
P0219	CARBODAN X LT	57
P0219	SHOCKER X100GR	1641
P0220	CARBODAN X250ML	3490
P0220	SOLFOR XKG	3
P0221	MONITOR XLT	4591
P0221	SOLUBOR XKG	12
P0222	MATADOR X250ML	315
P0222	TIFON XKG	4380
P0223	BOTRIZIM X500ML	27
P0223	BOTRIZIM XLT	64
P0224	BOTRIZIM X250ML	38
P0224	TRASLATE XKG	1
P0225	UREA XKG	974
P0226	BAZUKA X20LT	1
P0226	NITRO KING XLT	38
P0227	BOLERO XLT	4
P0227	DESTRUCTOR X20LT	1
P0228	FUEGO X20LT	1
P0228	FUJI ONE X250ML	1178
P0229	FUJI ONE X500ML	734
P0229	GLITEC X20LT	7
P0230	FUJI ONE XLT	1669
P0230	HERBOSATOX20LT	11
P0231	BAZUKA X4LT	153
P0232	DESTRUCTOR X5LT	118
P0232	FURIA XLT	7
P0233	FUEGO X4LT	190
P0233	FURIA X500ML	1
P0234	DIVINO XLT	3
P0234	FURIA X250ML	39
P0234	GLIFOKLIN X4LT	30
P0235	DIVINO X250ML	152
P0235	GLITEC X4LT	12
P0236	HERBOSATO X5LT	44
P0236	TAMARON XLT	324
P0237	RANGO X5LT	6
P0237	TAMARON X250ML	3183
P0238	cloruro de potasio x50kg	48
P0239	FARMADAN  48 PF X 250ML	138
P0239	FOSFATO DIAMONICO X50KG	1142
P0239	ZIVOT HOJA	25
P0240	GUANO DE ISLA X50KG	467
P0240	VITAL W XLT	193
P0241	BETA-BAYTROIDE XLT	240
P0242	BETA-BAYTROIDE X250ML	1468
P0242	DACONIL XLT	152
P0243	COSECHAMAS XLT	7
P0243	NITRATO DE AMONIO X50KG	3029
P0244	MULTIPLAN XLT	279
P0244	SULFATO DE AMONIO X50KG	36
P0245	PUNCHER XLT	112
P0245	SULFATO DE POTASIO X50KG	4
P0246	POUNCE XLT	213
P0247	POUNCE X250ML	259
P0247	SULPOMAX X50KG	2
P0248	PALADIN X250ML	940
P0248	SUPER FOSFATO DIAMONICO X50KG	74
P0249	CIPERMEX X250ML	45
P0249	PALADIN XLT	110
P0249	SUPER FOSFATO TRIPLE X50KG	26
P0250	FASTAC XLT	308
P0250	UREA X50KG	1920
P0251	FASTAC X250ML	499
P0252	CAPORAL X250ML	2744
P0252	NALA-T 100G	1099
P0252	STERMIN X250ML	4184
P0253	LUXAZIM X250ML	7
P0254	PRECISION X250ML	124
P0255	PANIC X250ML	70
P0256	PANIC XLT	2
P0257	FORDAZIM X250ML	164
P0258	MIXHOR PLUS X250ML	10
P0259	LUXAZIM X500ML	43
P0260	GOLDEN X500ML	40
P0261	AFFLY X500ML	355
P0262	MACHAZO X500ML	82
P0263	STERMIN X500ML	1205
P0264	BIG HOR PLUS X500ML	8
P0264	KARATE X250ML	613
P0268	CAMPAL X500ML	355
P0269	ATTACK XKL	1102
P0269	CAMPAL X250ML	899
P0270	ATTACK X500G	991
P0285	BRODER XKL	33
P0286	KLOROFILA XLT	37
P0290	MERTEC XLT	72
P0294	ACIGIB	6919
P0295	SPORTAC X250ML	112
P0296	PROCLAIM 100G	255
P0297	CUPRAVIT XKL	425
P0298	BIOSPORE XKG	124
P0299	KOKAL AKTIVATOR XKG	2596
P0300	KOKALERO 40.10.10 XKG	91
P0301	MULTIHOJAS XKG	5
P0302	COCALERO 42.12.12	4806
P0303	ATOM 40.10.10	3127
P0304	HOJA PLUS 40.10.10 XKG	40
P0305	ALGABIOL BROTE 40.10.10 XKG	117
P0306	NITROSOL HOJA XKG	67
